(30.319000244140625, 24.84402847290039, 72.1189956665039, 35.492027282714844, 'STANDARD', 15, 0, 0)
(74.23179626464844, 24.84402847290039, 96.606201171875, 35.492027282714844, 'FORM', 15, 0, 1)
(98.71900177001953, 24.84402847290039, 111.39580535888672, 35.492027282714844, '245', 15, 0, 2)
(113.50860595703125, 24.84402847290039, 133.3598175048828, 35.492027282714844, '(6/77)', 15, 0, 3)
(30.315597534179688, 34.66301727294922, 62.095947265625, 43.980018615722656, 'Prescribed', 15, 1, 0)
(63.94464874267578, 34.66301727294922, 70.96704864501953, 43.980018615722656, 'by', 15, 1, 1)
(72.81575012207031, 34.66301727294922, 91.28944396972656, 43.980018615722656, 'USDA', 15, 1, 2)
(93.13814544677734, 34.66301727294922, 107.1762924194336, 43.980018615722656, 'FSM', 15, 1, 3)
(109.02499389648438, 34.66301727294922, 123.81460571289062, 43.980018615722656, '5716', 15, 1, 4)
(125.6633071899414, 34.66301727294922, 141.55015563964844, 43.980018615722656, 'USDI', 15, 1, 5)
(143.3988494873047, 34.66301727294922, 181.10435485839844, 43.980018615722656, 'MP9400.518', 15, 1, 6)
(409.20098876953125, 24.35199737548828, 421.6470031738281, 34.05399703979492, 'NO.', 16, 0, 0)
(423.593017578125, 24.35199737548828, 433.3160400390625, 34.05399703979492, 'OF', 16, 0, 1)
(435.2620544433594, 24.35199737548828, 483.8840637207031, 34.05399703979492, 'PASSENGERS', 16, 0, 2)
(409.20098876953125, 32.75202178955078, 419.70098876953125, 42.45402145385742, 'ON', 16, 1, 0)
(421.6470031738281, 32.75202178955078, 437.593017578125, 42.45402145385742, 'THIS', 16, 1, 1)
(439.5390319824219, 32.75202178955078, 459.3770446777344, 42.45402145385742, 'PAGE', 16, 1, 2)
(504.3869934082031, 30.66602325439453, 524.2249755859375, 40.36802291870117, 'PAGE', 16, 2, 0)
(548.8089599609375, 30.66602325439453, 558.5319213867188, 40.36802291870117, 'OF', 16, 3, 0)
(30.319000244140625, 48.57899475097656, 73.43099975585938, 59.666996002197266, 'ORDERING', 17, 0, 0)
(75.65499877929688, 48.57899475097656, 94.31900024414062, 59.666996002197266, 'UNIT', 17, 0, 1)
(193.52699279785156, 48.57899475097656, 231.3109893798828, 59.666996002197266, 'PROJECT', 17, 1, 0)
(233.5349884033203, 48.57899475097656, 257.0870056152344, 59.666996002197266, 'NAME', 17, 1, 1)
(409.198974609375, 48.57899475097656, 446.98297119140625, 59.666996002197266, 'PROJECT', 17, 2, 0)
(449.20697021484375, 48.57899475097656, 463.43096923828125, 59.666996002197266, 'NO.', 17, 2, 1)
(30.3189697265625, 83.42701721191406, 53.8709716796875, 94.51502227783203, 'NAME', 18, 0, 0)
(56.094970703125, 83.42701721191406, 67.20697021484375, 94.51502227783203, 'OF', 18, 0, 1)
(69.43096923828125, 83.42701721191406, 105.8709716796875, 94.51502227783203, 'CARRIER', 18, 0, 2)
(193.52696228027344, 83.42701721191406, 217.52696228027344, 94.51502227783203, 'MODE', 18, 1, 0)
(219.75096130371094, 83.42701721191406, 230.8629608154297, 94.51502227783203, 'OF', 18, 1, 1)
(233.0869598388672, 83.42701721191406, 260.63897705078125, 94.51502227783203, 'TRANS', 18, 1, 2)
(262.86297607421875, 83.42701721191406, 268.63897705078125, 94.51502227783203, '&', 18, 1, 3)
(270.86297607421875, 83.42701721191406, 278.86297607421875, 94.51502227783203, 'ID', 18, 1, 4)
(281.08697509765625, 83.42701721191406, 295.31097412109375, 94.51502227783203, 'NO.', 18, 1, 5)
(409.198974609375, 83.42701721191406, 432.75897216796875, 94.51502227783203, 'PILOT', 18, 2, 0)
(434.98297119140625, 83.42701721191406, 446.98297119140625, 94.51502227783203, 'OR', 18, 2, 1)
(449.20697021484375, 83.42701721191406, 479.43096923828125, 94.51502227783203, 'DRIVER', 18, 2, 2)
(30.3189697265625, 118.34700012207031, 54.3189697265625, 129.43499755859375, 'CHIEF', 19, 0, 0)
(56.54296875, 118.34700012207031, 67.65496826171875, 129.43499755859375, 'OF', 19, 0, 1)
(69.87896728515625, 118.34700012207031, 96.990966796875, 129.43499755859375, 'PARTY', 19, 0, 2)
(193.52696228027344, 118.34700012207031, 226.8629608154297, 129.43499755859375, 'REPORT', 19, 1, 0)
(229.0869598388672, 118.34700012207031, 242.8629608154297, 129.43499755859375, 'TO:', 19, 1, 1)
(409.198974609375, 118.34700012207031, 416.31097412109375, 129.43499755859375, 'IF', 19, 2, 0)
(418.53497314453125, 118.34700012207031, 456.75897216796875, 129.43499755859375, 'DELAYED', 19, 2, 1)
(458.98297119140625, 118.34700012207031, 498.08697509765625, 129.43499755859375, 'CONTACT', 19, 2, 2)
(84.1109619140625, 154.61097717285156, 133.886962890625, 165.698974609375, 'DEPARTURE', 20, 0, 0)
(253.5189666748047, 154.61097717285156, 313.5189514160156, 165.698974609375, 'INTERMEDIATE', 20, 1, 0)
(315.7429504394531, 154.61097717285156, 342.8629455566406, 165.698974609375, 'STOPS', 20, 1, 1)
(468.63897705078125, 154.61097717285156, 522.8629760742188, 165.698974609375, 'DESTINATION', 20, 2, 0)
(73.19097900390625, 167.0509796142578, 100.302978515625, 178.13897705078125, 'PLACE', 21, 0, 0)
(286.1109619140625, 167.0509796142578, 313.22296142578125, 178.13897705078125, 'PLACE', 21, 1, 0)
(423.25494384765625, 167.0509796142578, 439.25494384765625, 178.13897705078125, 'ETA', 21, 2, 0)
(506.94293212890625, 167.0509796142578, 534.054931640625, 178.13897705078125, 'PLACE', 21, 3, 0)
